"team","team_region","round","fte_prob","seed","crowd_prob","fte_ep","crowd_ep","delta","evoc"
"Arizona","South","R8",0.14332392,"6",0.087,10.0326744,6.09,3.9426744,0.565079550291648
"Gonzaga","Midwest","R8",0.09376385,"11",0.013,6.5634695,0.91,5.6534695,0.530091066177575
"Maryland","South","R4",0.06526766,"5",0.012,9.790149,1.8,7.990149,0.52149832828134
"Arizona","South","R16",0.30955889,"6",0.254,9.2867667,7.62,1.6667667,0.515962449540963
"Indiana","East","R8",0.10999712,"5",0.048,7.6997984,3.36,4.3397984,0.477365325380608
"West Virginia","East","title",0.0340155,"3",0.012,21.429765,7.56,13.869765,0.4717869913575
"Yale","West","R16",0.13930259,"12",0.027,4.1790777,0.81,3.3690777,0.469321249521243
"Wichita St.","South","NCG",0.03861239,"11",0.001,11.9698409,0.31,11.6598409,0.450214324168751
"Cincinnati","West","R8",0.08343633,"9",0.007,5.8405431,0.49,5.3505431,0.446429679770823
"Pittsburgh","East","R32",0.37116453,"10",0.251,3.7116453,2.51,1.2016453,0.446008113001209
"Wisconsin","East","R8",0.10948081,"7",0.052,7.6636567,3.64,4.0236567,0.440513194677927
"Butler","Midwest","R16",0.14723674,"9",0.048,4.4171022,1.44,2.9771022,0.438338822574828
"Purdue","Midwest","title",0.02673775,"5",0.001,16.8447825,0.63,16.2147825,0.433546800789375
"Baylor","West","R4",0.06043704,"5",0.016,9.065556,2.4,6.665556,0.40284647459424
"Syracuse","Midwest","R32",0.47644216,"10",0.399,4.7644216,3.99,0.774421600000001,0.368967099854656
"Indiana","East","R4",0.05790886,"5",0.016,8.686329,2.4,6.286329,0.36403414597494
"Iowa","South","R16",0.18532737,"7",0.122,5.5598211,3.66,1.8998211,0.352088847933507
"Pittsburgh","East","R16",0.12546356,"10",0.034,3.7639068,1.02,2.7439068,0.344260315436208
"Kentucky","East","R32",0.92530662,"4",0.889,9.2530662,8.89,0.363066199999999,0.335947558358243
"Villanova","South","title",0.06333317,"2",0.055,39.8998971,34.65,5.2498971,0.332492625516807
"Arizona","South","R4",0.05892473,"6",0.022,8.8387095,3.3,5.5387095,0.326366961835935
"Virginia Commonwealth","West","R16",0.13989595,"10",0.064,4.1968785,1.92,2.2768785,0.318526080792075
"Northern Iowa","West","R32",0.29989084,"11",0.196,2.9989084,1.96,1.0389084,0.311559112759056
"Texas A&M","West","NCG",0.05198105,"3",0.033,16.1141255,10.23,5.8841255,0.305863021821775
"Maryland","South","NCG",0.03285641,"5",0.004,10.1854871,1.24,8.9454871,0.293916591807311
"Yale","West","R32",0.38725076,"12",0.314,3.8725076,3.14,0.7325076,0.283664124805776
"Arizona","South","NCG",0.03554732,"6",0.01,11.0196692,3.1,7.9196692,0.281523015346544
"Colorado","South","R32",0.36337233,"8",0.289,3.6337233,2.89,0.743723300000001,0.270248468396289
"Iowa","South","R8",0.08754145,"7",0.046,6.1279015,3.22,2.9079015,0.254561913767175
"Oregon","West","R4",0.22690979,"1",0.22,34.0364685,33,1.0364685,0.235184849676615
"Butler","Midwest","R8",0.06305958,"9",0.012,4.4141706,0.84,3.5741706,0.225385696884348
"Indiana","East","R16",0.35794705,"5",0.337,10.7384115,10.11,0.628411499999999,0.224938042611074
"Wichita St.","South","title",0.01876101,"11",0,11.8194363,0,11.8194363,0.221744562618663
"Iona","Midwest","R32",0.15929771,"13",0.029,1.5929771,0.29,1.3029771,0.207561268212441
"Connecticut","South","R16",0.09951278,"9",0.038,2.9853834,1.14,1.8453834,0.183639232299852
"North Carolina-Wilmington","West","R32",0.15402084,"13",0.036,1.5402084,0.36,1.1802084,0.181776689143056
"Virginia Commonwealth","West","R8",0.05707852,"10",0.012,3.9954964,0.84,3.1554964,0.180111064377328
"Indiana","East","NCG",0.025747,"5",0.004,7.98157,1.24,6.74157,0.17357520279
"Michigan","East","R32",0.3378623,"11",0.288,3.378623,2.88,0.498623,0.1684659136129
"Northern Iowa","West","R16",0.09516434,"11",0.038,2.8549302,1.14,1.7149302,0.163200200629068
"Syracuse","Midwest","R16",0.09734414,"10",0.045,2.9203242,1.35,1.5703242,0.152861858770188
"Texas A&M","West","R4",0.12411124,"3",0.116,18.616686,17.4,1.216686,0.15100440815064
"Texas","West","R4",0.05880235,"6",0.042,8.8203525,6.3,2.5203525,0.148202649828375
"SF Austin","East","R32",0.15189607,"14",0.056,1.5189607,0.56,0.9589607,0.145662361614449
"Baylor","West","NCG",0.02365722,"5",0.004,7.3337382,1.24,6.0937382,0.144160905219804
"Seton Hall","Midwest","R8",0.05331916,"6",0.015,3.7323412,1.05,2.6823412,0.143020179617392
"Texas","West","R16",0.32721314,"6",0.313,9.8163942,9.39,0.426394200000001,0.139521785059788
"Cincinnati","West","R4",0.03171214,"9",0.003,4.756821,0.45,4.306821,0.13657851050694
"Gonzaga","Midwest","R4",0.03161595,"11",0.003,4.7423925,0.45,4.2923925,0.135708066660375
"Connecticut","South","R8",0.05435213,"9",0.019,3.8046491,1.33,2.4746491,0.134502449587583
"Dayton","Midwest","R16",0.11287306,"7",0.074,3.3861918,2.22,1.1661918,0.131631637012908
"Pittsburgh","East","R8",0.04767579,"10",0.009,3.3373053,0.63,2.7073053,0.129072918948687
"Texas A&M","West","title",0.02357915,"3",0.015,14.8548645,9.45,5.4048645,0.127442110775175
"Arizona","South","title",0.01747254,"6",0.006,11.0077002,3.78,7.2277002,0.126286280852508
"Fresno State","Midwest","R32",0.12990083,"14",0.033,1.2990083,0.33,0.9690083,0.125874982446889
"Dayton","Midwest","R8",0.05315441,"7",0.02,3.7208087,1.4,2.3208087,0.123361217171367
"Buffalo","South","R32",0.14235571,"14",0.059,1.4235571,0.59,0.8335571,0.118661612796041
"Iowa","South","R4",0.03154687,"7",0.007,4.7320305,1.05,3.6820305,0.116156537519535
"Syracuse","Midwest","R8",0.04430409,"10",0.012,3.1012863,0.84,2.2612863,0.100184231750967
"California","South","R8",0.08968276,"4",0.074,6.2777932,5.18,1.0977932,0.0984531240852319
"Southern California","East","R32",0.37799129,"8",0.353,3.7799129,3.53,0.2499129,0.094464899458641
"Hawaii","South","R32",0.16558984,"13",0.109,1.6558984,1.09,0.5658984,0.093707025512256
"Maryland","South","title",0.0131926,"5",0.002,8.311338,1.26,7.051338,0.0930254816988
"SF Austin","East","R16",0.06300398,"14",0.017,1.8901194,0.51,1.3801194,0.086953015075212
"Green Bay","West","R32",0.11768487,"14",0.051,1.1768487,0.51,0.6668487,0.078478002569169
"Butler","Midwest","R4",0.02494155,"9",0.004,3.7412325,0.6,3.1412325,0.078347207460375
"Yale","West","R8",0.03693233,"12",0.008,2.5852631,0.56,2.0252631,0.074797685146023
"Indiana","East","title",0.01139307,"5",0.002,7.1776341,1.26,5.9176341,0.067420019535687
