"team","team_region","round","fte_prob","seed","crowd_prob","fte_ep","crowd_ep","delta","evoc"
"Weber State","East","R8",0.00082179,"15",0.007,0.0575253,0.49,-0.4324747,-0.000355403383713
"California","South","R4",0.0299194,"4",0.03,4.48791,4.5,-0.0120900000000006,-0.000361725546000018
"Oregon State","West","NCG",0.00033765,"7",0.004,0.1046715,1.24,-1.1353285,-0.000383343668025
"Southern California","East","NCG",0.00053992,"8",0.003,0.1673752,0.93,-0.7626248,-0.000411756382016
"North Carolina-Asheville","South","R8",0.00103846,"15",0.007,0.0726922,0.49,-0.4173078,-0.000433357457988
"Hampton","Midwest","R32",0.01742235,"16",0.02,0.1742235,0.2,-0.0257765,-0.000449087204775
"Florida Gulf Coast","East","R16",0.00330268,"16",0.008,0.0990804,0.24,-0.1409196,-0.000465412344528
"Chattanooga","East","R8",0.00164411,"12",0.006,0.1150877,0.42,-0.3049123,-0.000501309361553
"Dayton","Midwest","title",0.00139816,"7",0.002,0.8808408,1.26,-0.3791592,-0.000530125227072
"Temple","South","R16",0.04054921,"10",0.041,1.2164763,1.23,-0.0135236999999997,-0.000548375351276988
"AR-Little Rock","Midwest","R4",0.00191855,"12",0.004,0.2877825,0.6,-0.3122175,-0.000599004884625
"Mid Tennessee","Midwest","R8",0.00288726,"15",0.006,0.2021082,0.42,-0.2178918,-0.000629110278468
"Weber State","East","R16",0.00801166,"15",0.011,0.2403498,0.33,-0.0896502,-0.000718246921332
"CSU Bakersfield","West","R16",0.01194585,"15",0.014,0.3583755,0.42,-0.0616245,-0.000736157033325
"CSU Bakersfield","West","R8",0.00320875,"15",0.007,0.2246125,0.49,-0.2653875,-0.000851562140625
"Temple","South","R8",0.00916799,"10",0.011,0.6417593,0.77,-0.1282407,-0.001175709455193
"North Carolina-Asheville","South","R16",0.00711099,"15",0.013,0.2133297,0.39,-0.1766703,-0.001256300736597
"Providence","East","title",0.0007065,"9",0.004,0.445095,2.52,-2.074905,-0.0014659203825
"AR-Little Rock","Midwest","R8",0.00826443,"12",0.011,0.5785101,0.77,-0.1914899,-0.001582554874257
"Notre Dame","East","R4",0.02657896,"6",0.027,3.986844,4.05,-0.0631560000000011,-0.00167862079776003
"Southern California","East","R4",0.00185258,"8",0.01,0.277887,1.5,-1.222113,-0.00226406210154
